__run_id,__done,technique,total_energy,execution_time,cpu_user_time,cpu_system_time,cpu_iowait_time,mem_usage
run_3_repetition_6,DONE,mpi,21.496,9313.56,2.14,2.1,0.0,45783244.8
run_0_repetition_7,DONE,multithreads,23.533,11909.5,1.26,1.63,0.0,3653316.92
run_1_repetition_7,DONE,multiprocesses,23.901,12888.41,1.58,1.71,0.0,11301741.71
run_2_repetition_7,DONE,ppm,20.092,9938.13,2.43,1.79,0.0,43800883.2
run_3_repetition_7,DONE,mpi,22.746,11684.73,2.32,2.05,0.0,46586965.33
run_0_repetition_8,DONE,multithreads,24.021,9179.81,1.33,1.58,0.0,3593122.91
run_1_repetition_8,DONE,multiprocesses,28.475,13307.5,1.93,2.22,0.0,11195830.86
run_2_repetition_8,DONE,ppm,25.935,10186.67,2.79,2.26,0.0,43718860.8
run_3_repetition_8,DONE,mpi,23.585,10759.09,2.44,2.06,0.0,46617856.0
run_0_repetition_9,DONE,multithreads,27.653,9217.65,1.8,2.13,0.0,3586978.91
run_1_repetition_9,DONE,multiprocesses,24.61,11991.35,1.94,2.06,0.0,11144270.77
run_2_repetition_9,DONE,ppm,25.92,15841.87,2.76,2.23,0.0,45525120.0
run_3_repetition_9,DONE,mpi,19.927,8569.39,2.1,2.03,0.0,45700505.6
run_0_repetition_10,DONE,multithreads,22.944,10799.31,1.17,1.43,0.0,3614890.67
